"DisplayName","AverageScore"
itsho,1
Prasad Reddy,0
Danedo,49
Docunext,3
wintre,0
Sujal Shelke,0
hossam,8
Eugene Zharkov,0
itsandy,2
user364241,1
Greg Griffiths,1
kovan,5
JChristian,10
Caio Cunha,0
uekstrom,2
user232627,193
ury,1
Rytmis,15
reva,5
doubleface,6
Qwertie,4
cwching,3
MagicAndi,28
flreey,0
Xandman,37
Steve Rogers,1
Adam Bilinski,1
aqs,25
teok,7
atlasloewenherz,2
Enhancer,0
richmeetup,3
abualad,1
Robert Chen,4
Verdant,2
AlexRamallo,1
Sam M,25
butchcowboy,2
Dadle,0
user376949,1
Shyam Bhat,1
"111111",7
Johnny Oin,1
Nicholai,1
hugo411,2
mjschultz,7
ollie314,0
santhakr,0
Brennan Novak,4
Joshua Nozzi,4
user221295,0
rbartolome,1
bedeabza,4
Matt Harris,2
SoulBlighter,37
Dale Wilbanks,1
Doomsday,6
ytg,1
nalo,6
Joe Internet,1
Erik van Brakel,13
Myto,142
Paul Herzberg,3
Damien McGivern,6
WishKnew,3
Chestone,1
malitta,5
Solano,6
a25bedc5-3d09-41b8-82fb-ea6c353d75ae,0
JStrange,2
CZdeveloper,0
Valentino Dell'Aica,3
zmatic,0
Steve Wells,8
Froddo776,0
Sigi,0
dngo,0
nb5,22
Alex Punnen,0
leonardys,2
beeeefy,2
Adam Yong,2
Desecho,0
Craig Howard,4
user310153,2
user356866,-2
humbagumba,2
sibtx13,1
Jon Collins,1
Darryl Peterson,2
Ivan Gasparetto,1
Trotter,9
andrykonchin,2
dangvy,10
cheeves,2
CoolMagic,3
Alex Ott,4
FoxyBOA,3
Anjisan,3
Shawn Wildermuth,2
Jakob Høgenes,1
Amit Lad,2
Jack Cheung,1
CrazyFileMaker,0
zatz,1
Durathor,1
Vardhini,2
user544596,5
George Holt,2
TPAV,2
psychemedia,4
MN Phil,0
dato datuashvili,2
Dmitry O,0
sonjafon,3
Hoorayo,1
marcwenger,0
user436449,2
David Triebwasser,0
Colby Swandale,0
mgray,3
